f1,accuracy,brier_score,roc_auc,model__kernel,model__C,model__gamma,model__degree
0.6450296713015407,0.6376953125,0.48774467574039776,0.8476974582063703,linear,0.0009765625,0.25,3
0.4615601897656777,0.4892578125,0.3921564395126168,0.824897199223106,poly,0.015625,0.0078125,2
0.5923852581301552,0.59130859375,0.4995914898925129,0.8325954148044674,sigmoid,0.001953125,0.0009765625,2
0.584813503028318,0.569091796875,0.21036810578220122,0.5909194219140467,poly,0.125,64.0,2
0.5929345203749958,0.5771484375,0.206335427872876,0.6207422803962324,poly,128.0,8.0,3
0.5095612775164752,0.4952392578125,0.21347471801680917,0.5510235108549308,sigmoid,256.0,0.25,2
0.5992785428175789,0.5841064453125,0.20185795520453037,0.6492084421972869,poly,8.0,1.0,4
0.48105224683056946,0.49365234375,0.32761886784126293,0.6746672753511266,poly,0.0625,1.0,2
0.6110155985102614,0.5977783203125,0.20765297373206515,0.6082638661055688,linear,4.0,0.0078125,4
0.6732163379900902,0.665283203125,0.1904533820022615,0.7003021216175775,rbf,512.0,0.25,2
0.5727975161412966,0.561279296875,0.2500378565543629,0.6848527159724747,sigmoid,128.0,0.0078125,5
0.6093604379958989,0.5963134765625,0.2079262364721432,0.6069754236688177,linear,128.0,0.5,4
0.37636224064451507,0.4317626953125,0.2642346744488544,0.7702266980670996,poly,0.00390625,0.001953125,3
0.6064118192822329,0.603759765625,0.47332585473255595,0.8360753718986171,rbf,0.00390625,0.125,2
0.14707224561160923,0.3104248046875,0.2140855872343051,0.49155965438361754,sigmoid,0.25,16.0,4
0.5929345203749958,0.5771484375,0.206335427872876,0.6207422803962324,poly,2.0,2.0,3
0.427287507486232,0.4381103515625,0.2140855872343051,0.49155965438361754,rbf,0.00390625,512.0,3
0.6043804480621037,0.5897216796875,0.199210052250258,0.6658339022347226,poly,0.03125,16.0,5
0.6122310200188601,0.598388671875,0.20575585057774495,0.6258320422108472,rbf,128.0,0.125,4
